"dgp","T","reject","method","Nsim","mcse","lambda","asymptotic"
"iid",50,0.0545,"Conventional OLS",2000,0.00507591124823908,1,0.0500000000000001
"iid",200,0.051,"Conventional OLS",2000,0.00491929873051027,1,0.0500000000000001
"iid",500,0.05,"Conventional OLS",2000,0.00487339717240448,1,0.0500000000000001
"iid",1000,0.051,"Conventional OLS",2000,0.00491929873051027,1,0.0500000000000001
"iid",2000,0.0465,"Conventional OLS",2000,0.00470838348055891,1,0.0500000000000001
"iid",5000,0.049,"Conventional OLS",2000,0.00482695556225661,1,0.0500000000000001
"(0.5,0.5)",50,0.1115,"Conventional OLS",2000,0.00703803061942757,1.66666666666667,0.128968631196871
"(0.5,0.5)",200,0.1205,"Conventional OLS",2000,0.00727941446821102,1.66666666666667,0.128968631196871
"(0.5,0.5)",500,0.1385,"Conventional OLS",2000,0.00772391578151911,1.66666666666667,0.128968631196871
"(0.5,0.5)",1000,0.1325,"Conventional OLS",2000,0.00758102070964062,1.66666666666667,0.128968631196871
"(0.5,0.5)",2000,0.127,"Conventional OLS",2000,0.00744550199785078,1.66666666666667,0.128968631196871
"(0.5,0.5)",5000,0.126,"Conventional OLS",2000,0.0074203773488954,1.66666666666667,0.128968631196871
"(0.8,0.8)",50,0.2975,"Conventional OLS",2000,0.0102223713002414,4.55555555555556,0.358469758853721
"(0.8,0.8)",200,0.381,"Conventional OLS",2000,0.0108590745462033,4.55555555555556,0.358469758853721
"(0.8,0.8)",500,0.3795,"Conventional OLS",2000,0.0108508006617023,4.55555555555556,0.358469758853721
"(0.8,0.8)",1000,0.3675,"Conventional OLS",2000,0.010780624981883,4.55555555555556,0.358469758853721
"(0.8,0.8)",2000,0.365,"Conventional OLS",2000,0.0107651056659933,4.55555555555556,0.358469758853721
"(0.8,0.8)",5000,0.3475,"Conventional OLS",2000,0.0106476229741666,4.55555555555556,0.358469758853721
"(0.9,0.9)",50,0.463,"Conventional OLS",2000,0.011149686094236,9.52631578947369,0.525417087205404
"(0.9,0.9)",200,0.536,"Conventional OLS",2000,0.0111513227914898,9.52631578947369,0.525417087205404
"(0.9,0.9)",500,0.5055,"Conventional OLS",2000,0.0111796634564731,9.52631578947369,0.525417087205404
"(0.9,0.9)",1000,0.5265,"Conventional OLS",2000,0.0111646260573295,9.52631578947369,0.525417087205404
"(0.9,0.9)",2000,0.5215,"Conventional OLS",2000,0.011169998880931,9.52631578947369,0.525417087205404
"(0.9,0.9)",5000,0.5145,"Conventional OLS",2000,0.0111756375657051,9.52631578947369,0.525417087205404
"(0.95,0.95)",50,0.564,"Conventional OLS",2000,0.0110883722881224,19.5128205128205,0.657260502062158
"(0.95,0.95)",200,0.6495,"Conventional OLS",2000,0.0106688741205434,19.5128205128205,0.657260502062158
"(0.95,0.95)",500,0.6505,"Conventional OLS",2000,0.0106618420078334,19.5128205128205,0.657260502062158
"(0.95,0.95)",1000,0.655,"Conventional OLS",2000,0.0106295578459313,19.5128205128205,0.657260502062158
"(0.95,0.95)",2000,0.6475,"Conventional OLS",2000,0.0106827840472416,19.5128205128205,0.657260502062158
"(0.95,0.95)",5000,0.6595,"Conventional OLS",2000,0.0105962198448315,19.5128205128205,0.657260502062158
"(0.9,0.5)",50,0.2055,"Conventional OLS",2000,0.00903520198999447,2.63636363636364,0.227391296636681
"(0.9,0.5)",200,0.2175,"Conventional OLS",2000,0.00922479674572833,2.63636363636364,0.227391296636681
"(0.9,0.5)",500,0.2195,"Conventional OLS",2000,0.00925526201682049,2.63636363636364,0.227391296636681
"(0.9,0.5)",1000,0.231,"Conventional OLS",2000,0.00942440979584398,2.63636363636364,0.227391296636681
"(0.9,0.5)",2000,0.247,"Conventional OLS",2000,0.00964341744403922,2.63636363636364,0.227391296636681
"(0.9,0.5)",5000,0.2155,"Conventional OLS",2000,0.00919401299759795,2.63636363636364,0.227391296636681
"(0.8,-0.8)",50,0.001,"Conventional OLS",2000,0.000706753139363385,0.219512195121951,2.87310846942758e-05
"(0.8,-0.8)",200,0,"Conventional OLS",2000,0,0.219512195121951,2.87310846942758e-05
"(0.8,-0.8)",500,0,"Conventional OLS",2000,0,0.219512195121951,2.87310846942758e-05
"(0.8,-0.8)",1000,0,"Conventional OLS",2000,0,0.219512195121951,2.87310846942758e-05
"(0.8,-0.8)",2000,0,"Conventional OLS",2000,0,0.219512195121951,2.87310846942758e-05
"(0.8,-0.8)",5000,0,"Conventional OLS",2000,0,0.219512195121951,2.87310846942758e-05
"AR/MA lambda=1",50,0.041,"Conventional OLS",2000,0.00443390347211123,1,0.0500000000000001
"AR/MA lambda=1",200,0.0485,"Conventional OLS",2000,0.00480352734977121,1,0.0500000000000001
"AR/MA lambda=1",500,0.043,"Conventional OLS",2000,0.00453602248671675,1,0.0500000000000001
"AR/MA lambda=1",1000,0.0435,"Conventional OLS",2000,0.00456112650559048,1,0.0500000000000001
"AR/MA lambda=1",2000,0.05,"Conventional OLS",2000,0.00487339717240448,1,0.0500000000000001
"AR/MA lambda=1",5000,0.0605,"Conventional OLS",2000,0.0053310294503032,1,0.0500000000000001
"I(1)",50,0.683,"Conventional OLS",2000,0.0104045903331174,NA,NA
"I(1)",200,0.852,"Conventional OLS",2000,0.00794027707325129,NA,NA
"I(1)",500,0.893,"Conventional OLS",2000,0.0069119823495145,NA,NA
"I(1)",1000,0.933,"Conventional OLS",2000,0.00559066185706129,NA,NA
"I(1)",2000,0.952,"Conventional OLS",2000,0.00477995815881269,NA,NA
"I(1)",5000,0.9695,"Conventional OLS",2000,0.00384511053157123,NA,NA
