"dgp","T","reject_hac","method_hac","Nsim_hac","mcse_hac","reject_conventional","method_conventional","Nsim_conventional","mcse_conventional"
"iid",50,0.1145,"HAC",2000,0.00712003335666344,0.0545,"Conventional OLS",2000,0.00507591124823908
"iid",200,0.085,"HAC",2000,0.00623598428477815,0.051,"Conventional OLS",2000,0.00491929873051027
"iid",500,0.0565,"HAC",2000,0.00516273909857936,0.05,"Conventional OLS",2000,0.00487339717240448
"iid",1000,0.061,"HAC",2000,0.00535158854920667,0.051,"Conventional OLS",2000,0.00491929873051027
"iid",2000,0.0545,"HAC",2000,0.00507591124823908,0.0465,"Conventional OLS",2000,0.00470838348055891
"iid",5000,0.051,"HAC",2000,0.00491929873051027,0.049,"Conventional OLS",2000,0.00482695556225661
"(0.5,0.5)",50,0.127,"HAC",2000,0.00744550199785078,0.1115,"Conventional OLS",2000,0.00703803061942757
"(0.5,0.5)",200,0.068,"HAC",2000,0.00562920953598283,0.1205,"Conventional OLS",2000,0.00727941446821102
"(0.5,0.5)",500,0.068,"HAC",2000,0.00562920953598283,0.1385,"Conventional OLS",2000,0.00772391578151911
"(0.5,0.5)",1000,0.0665,"HAC",2000,0.00557125434709276,0.1325,"Conventional OLS",2000,0.00758102070964062
"(0.5,0.5)",2000,0.0585,"HAC",2000,0.0052477495176504,0.127,"Conventional OLS",2000,0.00744550199785078
"(0.5,0.5)",5000,0.0625,"HAC",2000,0.00541265877365274,0.126,"Conventional OLS",2000,0.0074203773488954
"(0.8,0.8)",50,0.208,"HAC",2000,0.00907568179257074,0.2975,"Conventional OLS",2000,0.0102223713002414
"(0.8,0.8)",200,0.148,"HAC",2000,0.00794027707325129,0.381,"Conventional OLS",2000,0.0108590745462033
"(0.8,0.8)",500,0.1005,"HAC",2000,0.00672308522926788,0.3795,"Conventional OLS",2000,0.0108508006617023
"(0.8,0.8)",1000,0.0905,"HAC",2000,0.00641520654383006,0.3675,"Conventional OLS",2000,0.010780624981883
"(0.8,0.8)",2000,0.0735,"HAC",2000,0.00583514138646186,0.365,"Conventional OLS",2000,0.0107651056659933
"(0.8,0.8)",5000,0.0545,"HAC",2000,0.00507591124823908,0.3475,"Conventional OLS",2000,0.0106476229741666
"(0.9,0.9)",50,0.3145,"HAC",2000,0.0103824310736937,0.463,"Conventional OLS",2000,0.011149686094236
"(0.9,0.9)",200,0.194,"HAC",2000,0.00884205858383669,0.536,"Conventional OLS",2000,0.0111513227914898
"(0.9,0.9)",500,0.1405,"HAC",2000,0.0077704488287357,0.5055,"Conventional OLS",2000,0.0111796634564731
"(0.9,0.9)",1000,0.111,"HAC",2000,0.00702420814042409,0.5265,"Conventional OLS",2000,0.0111646260573295
"(0.9,0.9)",2000,0.0885,"HAC",2000,0.00635089560613304,0.5215,"Conventional OLS",2000,0.011169998880931
"(0.9,0.9)",5000,0.062,"HAC",2000,0.00539240206216117,0.5145,"Conventional OLS",2000,0.0111756375657051
"(0.95,0.95)",50,0.4075,"HAC",2000,0.0109873506815792,0.564,"Conventional OLS",2000,0.0110883722881224
"(0.95,0.95)",200,0.3125,"HAC",2000,0.0103644524698606,0.6495,"Conventional OLS",2000,0.0106688741205434
"(0.95,0.95)",500,0.212,"HAC",2000,0.00913936540466569,0.6505,"Conventional OLS",2000,0.0106618420078334
"(0.95,0.95)",1000,0.1845,"HAC",2000,0.00867351572316555,0.655,"Conventional OLS",2000,0.0106295578459313
"(0.95,0.95)",2000,0.141,"HAC",2000,0.0077819984579798,0.6475,"Conventional OLS",2000,0.0106827840472416
"(0.95,0.95)",5000,0.107,"HAC",2000,0.0069119823495145,0.6595,"Conventional OLS",2000,0.0105962198448315
"(0.9,0.5)",50,0.189,"HAC",2000,0.00875439889427024,0.2055,"Conventional OLS",2000,0.00903520198999447
"(0.9,0.5)",200,0.101,"HAC",2000,0.00673791510780597,0.2175,"Conventional OLS",2000,0.00922479674572833
"(0.9,0.5)",500,0.0835,"HAC",2000,0.00618578006398546,0.2195,"Conventional OLS",2000,0.00925526201682049
"(0.9,0.5)",1000,0.069,"HAC",2000,0.00566740681440816,0.231,"Conventional OLS",2000,0.00942440979584398
"(0.9,0.5)",2000,0.0665,"HAC",2000,0.00557125434709276,0.247,"Conventional OLS",2000,0.00964341744403922
"(0.9,0.5)",5000,0.0575,"HAC",2000,0.00520546587732549,0.2155,"Conventional OLS",2000,0.00919401299759795
"(0.8,-0.8)",50,0.055,"HAC",2000,0.00509779364038993,0.001,"Conventional OLS",2000,0.000706753139363385
"(0.8,-0.8)",200,0.041,"HAC",2000,0.00443390347211123,0,"Conventional OLS",2000,0
"(0.8,-0.8)",500,0.046,"HAC",2000,0.00468422885862764,0,"Conventional OLS",2000,0
"(0.8,-0.8)",1000,0.051,"HAC",2000,0.00491929873051027,0,"Conventional OLS",2000,0
"(0.8,-0.8)",2000,0.0475,"HAC",2000,0.00475624589355933,0,"Conventional OLS",2000,0
"(0.8,-0.8)",5000,0.047,"HAC",2000,0.00473238840333293,0,"Conventional OLS",2000,0
"AR/MA lambda=1",50,0.109,"HAC",2000,0.00696846468025777,0.041,"Conventional OLS",2000,0.00443390347211123
"AR/MA lambda=1",200,0.078,"HAC",2000,0.00599649897857075,0.0485,"Conventional OLS",2000,0.00480352734977121
"AR/MA lambda=1",500,0.0605,"HAC",2000,0.0053310294503032,0.043,"Conventional OLS",2000,0.00453602248671675
"AR/MA lambda=1",1000,0.0565,"HAC",2000,0.00516273909857936,0.0435,"Conventional OLS",2000,0.00456112650559048
"AR/MA lambda=1",2000,0.054,"HAC",2000,0.00505390937789747,0.05,"Conventional OLS",2000,0.00487339717240448
"AR/MA lambda=1",5000,0.0645,"HAC",2000,0.00549271107923947,0.0605,"Conventional OLS",2000,0.0053310294503032
