"T","reject","method","dgp","Nsim","mcse"
50,0.1145,"HAC","iid",2000,0.00712003335666344
200,0.085,"HAC","iid",2000,0.00623598428477815
500,0.0565,"HAC","iid",2000,0.00516273909857936
1000,0.061,"HAC","iid",2000,0.00535158854920667
2000,0.0545,"HAC","iid",2000,0.00507591124823908
5000,0.051,"HAC","iid",2000,0.00491929873051027
50,0.127,"HAC","(0.5,0.5)",2000,0.00744550199785078
200,0.068,"HAC","(0.5,0.5)",2000,0.00562920953598283
500,0.068,"HAC","(0.5,0.5)",2000,0.00562920953598283
1000,0.0665,"HAC","(0.5,0.5)",2000,0.00557125434709276
2000,0.0585,"HAC","(0.5,0.5)",2000,0.0052477495176504
5000,0.0625,"HAC","(0.5,0.5)",2000,0.00541265877365274
50,0.208,"HAC","(0.8,0.8)",2000,0.00907568179257074
200,0.148,"HAC","(0.8,0.8)",2000,0.00794027707325129
500,0.1005,"HAC","(0.8,0.8)",2000,0.00672308522926788
1000,0.0905,"HAC","(0.8,0.8)",2000,0.00641520654383006
2000,0.0735,"HAC","(0.8,0.8)",2000,0.00583514138646186
5000,0.0545,"HAC","(0.8,0.8)",2000,0.00507591124823908
50,0.3145,"HAC","(0.9,0.9)",2000,0.0103824310736937
200,0.194,"HAC","(0.9,0.9)",2000,0.00884205858383669
500,0.1405,"HAC","(0.9,0.9)",2000,0.0077704488287357
1000,0.111,"HAC","(0.9,0.9)",2000,0.00702420814042409
2000,0.0885,"HAC","(0.9,0.9)",2000,0.00635089560613304
5000,0.062,"HAC","(0.9,0.9)",2000,0.00539240206216117
50,0.4075,"HAC","(0.95,0.95)",2000,0.0109873506815792
200,0.3125,"HAC","(0.95,0.95)",2000,0.0103644524698606
500,0.212,"HAC","(0.95,0.95)",2000,0.00913936540466569
1000,0.1845,"HAC","(0.95,0.95)",2000,0.00867351572316555
2000,0.141,"HAC","(0.95,0.95)",2000,0.0077819984579798
5000,0.107,"HAC","(0.95,0.95)",2000,0.0069119823495145
50,0.189,"HAC","(0.9,0.5)",2000,0.00875439889427024
200,0.101,"HAC","(0.9,0.5)",2000,0.00673791510780597
500,0.0835,"HAC","(0.9,0.5)",2000,0.00618578006398546
1000,0.069,"HAC","(0.9,0.5)",2000,0.00566740681440816
2000,0.0665,"HAC","(0.9,0.5)",2000,0.00557125434709276
5000,0.0575,"HAC","(0.9,0.5)",2000,0.00520546587732549
50,0.055,"HAC","(0.8,-0.8)",2000,0.00509779364038993
200,0.041,"HAC","(0.8,-0.8)",2000,0.00443390347211123
500,0.046,"HAC","(0.8,-0.8)",2000,0.00468422885862764
1000,0.051,"HAC","(0.8,-0.8)",2000,0.00491929873051027
2000,0.0475,"HAC","(0.8,-0.8)",2000,0.00475624589355933
5000,0.047,"HAC","(0.8,-0.8)",2000,0.00473238840333293
50,0.109,"HAC","AR/MA lambda=1",2000,0.00696846468025777
200,0.078,"HAC","AR/MA lambda=1",2000,0.00599649897857075
500,0.0605,"HAC","AR/MA lambda=1",2000,0.0053310294503032
1000,0.0565,"HAC","AR/MA lambda=1",2000,0.00516273909857936
2000,0.054,"HAC","AR/MA lambda=1",2000,0.00505390937789747
5000,0.0645,"HAC","AR/MA lambda=1",2000,0.00549271107923947
50,0.521,"HAC","I(1)",2000,0.011170474475151
200,0.601,"HAC","I(1)",2000,0.0109498630128418
500,0.682,"HAC","I(1)",2000,0.0104133568074853
1000,0.7205,"HAC","I(1)",2000,0.0100344344633866
2000,0.7825,"HAC","I(1)",2000,0.00922479674572833
5000,0.8275,"HAC","I(1)",2000,0.00844818767547218
