"T","b","method","power","Nsim","mcse","panel"
250,0,"Conventional OLS",0.05,2000,0.00487339717240448,"T = 250"
250,0,"HAC",0.05,2000,0.00487339717240448,"T = 250"
250,1,"Conventional OLS",0.1005,2000,0.00672308522926788,"T = 250"
250,1,"HAC",0.0905,2000,0.00641520654383006,"T = 250"
250,2,"Conventional OLS",0.1895,2000,0.00876326851123484,"T = 250"
250,2,"HAC",0.157,2000,0.00813483251210497,"T = 250"
250,3,"Conventional OLS",0.319,2000,0.0104220679329968,"T = 250"
250,3,"HAC",0.2805,2000,0.0100453907340631,"T = 250"
250,4,"Conventional OLS",0.5145,2000,0.0111756375657051,"T = 250"
250,4,"HAC",0.4565,2000,0.0111379475218731,"T = 250"
250,6,"Conventional OLS",0.821,2000,0.00857201843208471,"T = 250"
250,6,"HAC",0.7665,2000,0.00945985597141944,"T = 250"
250,8,"Conventional OLS",0.9615,2000,0.00430219420761081,"T = 250"
250,8,"HAC",0.9255,2000,0.00587153089066216,"T = 250"
1000,0,"Conventional OLS",0.05,2000,0.00487339717240448,"T = 1000"
1000,0,"HAC",0.05,2000,0.00487339717240448,"T = 1000"
1000,1,"Conventional OLS",0.0815,2000,0.0061179142687684,"T = 1000"
1000,1,"HAC",0.0735,2000,0.00583514138646186,"T = 1000"
1000,2,"Conventional OLS",0.165,2000,0.00829984939622401,"T = 1000"
1000,2,"HAC",0.15,2000,0.00798435971133566,"T = 1000"
1000,3,"Conventional OLS",0.2855,2000,0.010099251209867,"T = 1000"
1000,3,"HAC",0.27,2000,0.00992723526466458,"T = 1000"
1000,4,"Conventional OLS",0.468,2000,0.0111574190563947,"T = 1000"
1000,4,"HAC",0.443,2000,0.0111074524531956,"T = 1000"
1000,6,"Conventional OLS",0.803,2000,0.00889356508943404,"T = 1000"
1000,6,"HAC",0.787,2000,0.00915508055671822,"T = 1000"
1000,8,"Conventional OLS",0.9625,2000,0.00424816136699161,"T = 1000"
1000,8,"HAC",0.9545,2000,0.00465992220965114,"T = 1000"
