"T","reject","method","dgp","Nsim","mcse"
50,0.0545,"Conventional OLS","iid",2000,0.00507591124823908
100,0.048,"Conventional OLS","iid",2000,0.00477995815881269
150,0.054,"Conventional OLS","iid",2000,0.00505390937789747
200,0.051,"Conventional OLS","iid",2000,0.00491929873051027
250,0.0525,"Conventional OLS","iid",2000,0.00498717104178311
300,0.0445,"Conventional OLS","iid",2000,0.00461084319837489
350,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
400,0.047,"Conventional OLS","iid",2000,0.00473238840333293
450,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
500,0.05,"Conventional OLS","iid",2000,0.00487339717240448
550,0.0505,"Conventional OLS","iid",2000,0.00489641450451246
600,0.049,"Conventional OLS","iid",2000,0.00482695556225661
650,0.048,"Conventional OLS","iid",2000,0.00477995815881269
700,0.053,"Conventional OLS","iid",2000,0.0050095408971282
750,0.0525,"Conventional OLS","iid",2000,0.00498717104178311
800,0.0535,"Conventional OLS","iid",2000,0.00503178646208283
850,0.053,"Conventional OLS","iid",2000,0.0050095408971282
900,0.049,"Conventional OLS","iid",2000,0.00482695556225661
950,0.049,"Conventional OLS","iid",2000,0.00482695556225661
1000,0.051,"Conventional OLS","iid",2000,0.00491929873051027
1050,0.0535,"Conventional OLS","iid",2000,0.00503178646208283
1100,0.0515,"Conventional OLS","iid",2000,0.00494205169944629
1150,0.055,"Conventional OLS","iid",2000,0.00509779364038993
1200,0.0545,"Conventional OLS","iid",2000,0.00507591124823908
1250,0.052,"Conventional OLS","iid",2000,0.00496467521596328
1300,0.0515,"Conventional OLS","iid",2000,0.00494205169944629
1350,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
1400,0.0505,"Conventional OLS","iid",2000,0.00489641450451246
1450,0.0565,"Conventional OLS","iid",2000,0.00516273909857936
1500,0.055,"Conventional OLS","iid",2000,0.00509779364038993
1550,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
1600,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
1650,0.0555,"Conventional OLS","iid",2000,0.00511955808639769
1700,0.0515,"Conventional OLS","iid",2000,0.00494205169944629
1750,0.047,"Conventional OLS","iid",2000,0.00473238840333293
1800,0.055,"Conventional OLS","iid",2000,0.00509779364038993
1850,0.05,"Conventional OLS","iid",2000,0.00487339717240448
1900,0.05,"Conventional OLS","iid",2000,0.00487339717240448
1950,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
2000,0.0465,"Conventional OLS","iid",2000,0.00470838348055891
2050,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
2100,0.047,"Conventional OLS","iid",2000,0.00473238840333293
2150,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
2200,0.0465,"Conventional OLS","iid",2000,0.00470838348055891
2250,0.0465,"Conventional OLS","iid",2000,0.00470838348055891
2300,0.0435,"Conventional OLS","iid",2000,0.00456112650559048
2350,0.047,"Conventional OLS","iid",2000,0.00473238840333293
2400,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
2450,0.0505,"Conventional OLS","iid",2000,0.00489641450451246
2500,0.0525,"Conventional OLS","iid",2000,0.00498717104178311
2550,0.051,"Conventional OLS","iid",2000,0.00491929873051027
2600,0.0545,"Conventional OLS","iid",2000,0.00507591124823908
2650,0.052,"Conventional OLS","iid",2000,0.00496467521596328
2700,0.052,"Conventional OLS","iid",2000,0.00496467521596328
2750,0.049,"Conventional OLS","iid",2000,0.00482695556225661
2800,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
2850,0.046,"Conventional OLS","iid",2000,0.00468422885862764
2900,0.045,"Conventional OLS","iid",2000,0.00463546114210873
2950,0.0455,"Conventional OLS","iid",2000,0.00465992220965114
3000,0.049,"Conventional OLS","iid",2000,0.00482695556225661
3050,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
3100,0.0435,"Conventional OLS","iid",2000,0.00456112650559048
3150,0.044,"Conventional OLS","iid",2000,0.00458606585212206
3200,0.0455,"Conventional OLS","iid",2000,0.00465992220965114
3250,0.0435,"Conventional OLS","iid",2000,0.00456112650559048
3300,0.043,"Conventional OLS","iid",2000,0.00453602248671675
3350,0.047,"Conventional OLS","iid",2000,0.00473238840333293
3400,0.05,"Conventional OLS","iid",2000,0.00487339717240448
3450,0.043,"Conventional OLS","iid",2000,0.00453602248671675
3500,0.046,"Conventional OLS","iid",2000,0.00468422885862764
3550,0.047,"Conventional OLS","iid",2000,0.00473238840333293
3600,0.0475,"Conventional OLS","iid",2000,0.00475624589355933
3650,0.0445,"Conventional OLS","iid",2000,0.00461084319837489
3700,0.046,"Conventional OLS","iid",2000,0.00468422885862764
3750,0.0435,"Conventional OLS","iid",2000,0.00456112650559048
3800,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
3850,0.0505,"Conventional OLS","iid",2000,0.00489641450451246
3900,0.0515,"Conventional OLS","iid",2000,0.00494205169944629
3950,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
4000,0.045,"Conventional OLS","iid",2000,0.00463546114210873
4050,0.0455,"Conventional OLS","iid",2000,0.00465992220965114
4100,0.043,"Conventional OLS","iid",2000,0.00453602248671675
4150,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
4200,0.0455,"Conventional OLS","iid",2000,0.00465992220965114
4250,0.048,"Conventional OLS","iid",2000,0.00477995815881269
4300,0.048,"Conventional OLS","iid",2000,0.00477995815881269
4350,0.046,"Conventional OLS","iid",2000,0.00468422885862764
4400,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
4450,0.048,"Conventional OLS","iid",2000,0.00477995815881269
4500,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
4550,0.049,"Conventional OLS","iid",2000,0.00482695556225661
4600,0.0475,"Conventional OLS","iid",2000,0.00475624589355933
4650,0.0505,"Conventional OLS","iid",2000,0.00489641450451246
4700,0.049,"Conventional OLS","iid",2000,0.00482695556225661
4750,0.0485,"Conventional OLS","iid",2000,0.00480352734977121
4800,0.0475,"Conventional OLS","iid",2000,0.00475624589355933
4850,0.0475,"Conventional OLS","iid",2000,0.00475624589355933
4900,0.048,"Conventional OLS","iid",2000,0.00477995815881269
4950,0.0495,"Conventional OLS","iid",2000,0.0048502448391808
5000,0.049,"Conventional OLS","iid",2000,0.00482695556225661
50,0.1115,"Conventional OLS","(0.5,0.5)",2000,0.00703803061942757
100,0.1175,"Conventional OLS","(0.5,0.5)",2000,0.00720047741472744
150,0.119,"Conventional OLS","(0.5,0.5)",2000,0.00724013121428058
200,0.1205,"Conventional OLS","(0.5,0.5)",2000,0.00727941446821102
250,0.121,"Conventional OLS","(0.5,0.5)",2000,0.00729242757934558
300,0.125,"Conventional OLS","(0.5,0.5)",2000,0.00739509972887452
350,0.1335,"Conventional OLS","(0.5,0.5)",2000,0.00760518737441754
400,0.1325,"Conventional OLS","(0.5,0.5)",2000,0.00758102070964062
450,0.1335,"Conventional OLS","(0.5,0.5)",2000,0.00760518737441754
500,0.1385,"Conventional OLS","(0.5,0.5)",2000,0.00772391578151911
550,0.132,"Conventional OLS","(0.5,0.5)",2000,0.00756888366933988
600,0.132,"Conventional OLS","(0.5,0.5)",2000,0.00756888366933988
650,0.132,"Conventional OLS","(0.5,0.5)",2000,0.00756888366933988
700,0.116,"Conventional OLS","(0.5,0.5)",2000,0.00716044691342656
750,0.127,"Conventional OLS","(0.5,0.5)",2000,0.00744550199785078
800,0.1205,"Conventional OLS","(0.5,0.5)",2000,0.00727941446821102
850,0.118,"Conventional OLS","(0.5,0.5)",2000,0.00721373689567342
900,0.1205,"Conventional OLS","(0.5,0.5)",2000,0.00727941446821102
950,0.129,"Conventional OLS","(0.5,0.5)",2000,0.00749529852640974
1000,0.1325,"Conventional OLS","(0.5,0.5)",2000,0.00758102070964062
1050,0.1355,"Conventional OLS","(0.5,0.5)",2000,0.00765309577883356
1100,0.1345,"Conventional OLS","(0.5,0.5)",2000,0.00762921195144033
1150,0.138,"Conventional OLS","(0.5,0.5)",2000,0.00771219813023499
1200,0.13,"Conventional OLS","(0.5,0.5)",2000,0.00751997340420829
1250,0.129,"Conventional OLS","(0.5,0.5)",2000,0.00749529852640974
1300,0.137,"Conventional OLS","(0.5,0.5)",2000,0.00768866048151432
1350,0.132,"Conventional OLS","(0.5,0.5)",2000,0.00756888366933988
1400,0.1315,"Conventional OLS","(0.5,0.5)",2000,0.00755671059390261
1450,0.1245,"Conventional OLS","(0.5,0.5)",2000,0.00738240306404358
1500,0.1345,"Conventional OLS","(0.5,0.5)",2000,0.00762921195144033
1550,0.139,"Conventional OLS","(0.5,0.5)",2000,0.00773559952427735
1600,0.136,"Conventional OLS","(0.5,0.5)",2000,0.00766498532288223
1650,0.136,"Conventional OLS","(0.5,0.5)",2000,0.00766498532288223
1700,0.133,"Conventional OLS","(0.5,0.5)",2000,0.00759312188760328
1750,0.1365,"Conventional OLS","(0.5,0.5)",2000,0.00767684017027839
1800,0.1295,"Conventional OLS","(0.5,0.5)",2000,0.00750765442731616
1850,0.125,"Conventional OLS","(0.5,0.5)",2000,0.00739509972887452
1900,0.127,"Conventional OLS","(0.5,0.5)",2000,0.00744550199785078
1950,0.1295,"Conventional OLS","(0.5,0.5)",2000,0.00750765442731616
2000,0.127,"Conventional OLS","(0.5,0.5)",2000,0.00744550199785078
2050,0.1305,"Conventional OLS","(0.5,0.5)",2000,0.00753225563825339
2100,0.128,"Conventional OLS","(0.5,0.5)",2000,0.0074704752191544
2150,0.129,"Conventional OLS","(0.5,0.5)",2000,0.00749529852640974
2200,0.1335,"Conventional OLS","(0.5,0.5)",2000,0.00760518737441754
2250,0.129,"Conventional OLS","(0.5,0.5)",2000,0.00749529852640974
2300,0.1335,"Conventional OLS","(0.5,0.5)",2000,0.00760518737441754
